,0,1,2,3
0,만드리곤드레밥,35.177387,128.95245,https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel
1,만호갈미 샤브샤브,35.101425,128.92914,https://www.visitbusan.net/uploadImgs/files/cntnts/20191216135832825_ttiel
2,민물가든,35.16055,128.89468,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel
3,부흥식당,35.085815,129.04071,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217113924538_ttiel
4,가야할매밀면,35.185196,129.07988,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel
5,국제밀면,35.19689,129.07785,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217202633906_ttiel
6,물꽁식당,35.104504,129.0244,https://www.visitbusan.net/uploadImgs/files/cntnts/20191218094154651_ttiel
7,부산명물횟집,35.09714,129.0312,https://www.visitbusan.net/uploadImgs/files/cntnts/20191218095111181_ttiel
8,원조한양족발,35.099903,129.02715,https://www.visitbusan.net/uploadImgs/files/cntnts/20191218102958937_ttiel
9,이재모피자,35.102104,129.0306,https://www.visitbusan.net/uploadImgs/files/cntnts/20191218103511820_ttiel
10,거대갈비,35.161617,129.16696,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219093030634_ttiel
11,금수복국 본점,35.16243,129.1645,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172845727_ttiel
12,다온,35.158123,129.14853,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_ttiel
13,동백섬횟집,35.160427,129.15468,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818125906889_ttiel
14,르꽁비브,35.176777,129.12552,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_ttiel
15,문스시,35.17031,129.16615,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_ttiel
16,예이제,35.16123,129.16664,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818133818412_ttiel
17,원조석대추어탕,35.2195,129.12512,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_ttiel
18,원조할매복국,35.160915,129.17152,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_ttiel
19,젠스시,35.170826,129.1715,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219135236542_ttiel
20,옛날 오막집,35.108913,129.0199,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141858821_ttiel
21,평안도족발,35.161945,129.16637,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_ttiel
22,한우숯불양곱창,35.165897,129.17079,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_ttiel
23,쌍둥이돼지국밥,35.131783,129.09239,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219143010570_ttiel
24,이층집 564-9,35.13028,129.10002,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219153031872_ttiel
25,초원복국 대연본점,35.137794,129.10591,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219160045041_ttiel
26,석화한정식,35.13881,129.06189,https://www.visitbusan.net/uploadImgs/files/cntnts/20220513092736141_ttiel
27,함경면옥,35.20263,129.08307,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512102852754_ttiel
28,영변횟집,35.1808,129.20293,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818134302422_ttiel
29,방코,35.11546,128.92226,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818100408773_ttiel
30,얼크니손칼국수(기장본점),35.255756,129.21614,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144753937_ttiel
31,곤국,35.1477,129.06758,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819150211450_ttiel
32,다이닝센 부산본점,35.124435,129.11235,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820090928003_ttiel
33,오륙도 가원,35.106773,129.11171,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818151745396_ttiel
34,한우랑,35.130306,129.0949,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818152932317_ttiel
35,해남식당,35.134193,129.11122,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818153601185_ttiel
36,금강만두,35.196102,129.06027,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818170548384_ttiel
37,고을산채,35.093414,129.0448,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818175032095_ttiel
38,석화정,35.077095,129.07231,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819094049234_ttiel
39,북경,35.18377,129.08086,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172514790_ttiel
40,연산낙지해물탕,35.182316,129.10692,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103408604_ttiel
41,웰빙여행,35.181526,129.07504,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819170519954_ttiel
42,옻바다전복 삼계탕,35.18473,129.08128,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105118416_ttiel
43,참참부자,35.185333,129.08035,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105753999_ttiel
44,팔미초밥,35.184906,129.0818,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819110257649_ttiel
45,남촌,35.21074,129.00595,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154352300_ttiel
46,북경의자전거,35.230934,129.00957,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091146813_ttiel
47,식당 3선(덕천점),35.21927,129.00708,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154140644_ttiel
48,함경면옥,35.21178,129.00423,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091029413_ttiel
49,디에이블 송도점,35.076706,129.01715,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132345743_ttiel
50,몽실종가돼지국밥,35.10016,129.01721,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132813484_ttiel
51,식당 토성동,35.097954,129.02257,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819133843312_ttiel
52,청죽,35.11293,129.01305,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819134238418_ttiel
53,편의방,35.11915,129.01625,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819134644126_ttiel
54,동원장수촌,35.10194,128.97113,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172146946_ttiel
55,포항가자미물회,35.169525,128.98228,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819143114772_ttiel
56,괘법쭈꾸미,35.163906,128.98459,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819161305335_ttiel
57,삼진어묵,35.092953,129.04279,https://www.visitbusan.net/uploadImgs/files/cntnts/20210415134915004_ttiel
58,광명집,35.125664,129.10095,https://www.visitbusan.net/uploadImgs/files/cntnts/20210903144841845_ttiel
59,명지첫집,35.095818,128.92444,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913092353076_ttiel
60,드마히니 더블유스퀘어점,35.13426,129.11124,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913095514659_ttiel
61,명품외식 육면정,35.148415,129.09482,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913100010495_ttiel
62,호포갈비 문현점,35.13401,129.06631,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913101952443_ttiel
63,평산옥,35.114292,129.0371,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913104329974_ttiel
64,공감식당,35.16551,129.03838,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110103549_ttiel
65,다옴 (서면 삼정타워점),35.152874,129.05957,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110833421_ttiel
66,당감밀면,35.162247,129.03975,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111405621_ttiel
67,더브릭하우스,35.15917,129.0585,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111907192_ttiel
68,버거샵,35.15856,129.06306,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913112340644_ttiel
69,소수인,35.156704,129.05385,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913112639309_ttiel
